date,open,high,low,close,volume,foreign_ownership,code,name,daily_return,event_day,cumulative_return,benchmark_return,abnormal_return,cumulative_abnormal_return,asset,case
2021-10-26,3039.82,3051.65,3030.53,3049.08,564559.0,0.0,KOSPI,KOSPI,0.009448641633615251,-66,0.1662236229627958,0.009448641633615251,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-10-27,3045.83,3049.02,3019.0,3025.49,607875.0,0.0,KOSPI,KOSPI,-0.0077367599407034415,-65,0.15720083075475522,-0.0077367599407034415,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-10-28,3023.17,3034.42,3009.55,3009.55,617256.0,0.0,KOSPI,KOSPI,-0.005268568066660095,-64,0.15110403941112804,-0.005268568066660095,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-10-29,3025.67,3030.17,2965.4,2970.68,545833.0,0.0,KOSPI,KOSPI,-0.012915552158960786,-63,0.13623689514972326,-0.012915552158960786,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-01,2984.18,2991.81,2976.87,2978.94,475382.0,0.0,KOSPI,KOSPI,0.0027805081664804554,-62,0.13939621111574363,0.0027805081664804554,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-02,2995.58,3034.3,2995.58,3013.49,525853.0,0.0,KOSPI,KOSPI,0.011598085224945764,-61,0.15261102547724414,0.011598085224945764,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-03,3020.36,3020.87,2969.01,2975.71,658648.0,0.0,KOSPI,KOSPI,-0.01253695880855743,-60,0.13816078852854674,-0.01253695880855743,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-04,3000.92,3011.56,2978.07,2983.22,772023.0,0.0,KOSPI,KOSPI,0.002523767437014879,-59,0.14103324166472242,0.002523767437014879,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-05,3003.53,3003.53,2953.96,2969.27,688027.0,0.0,KOSPI,KOSPI,-0.004676155295284867,-58,0.13569759302961582,-0.004676155295284867,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-08,2965.36,2968.18,2930.9,2960.2,560205.0,0.0,KOSPI,KOSPI,-0.0030546228534287234,-57,0.13222846520736353,-0.0030546228534287234,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-09,2958.15,2987.28,2949.17,2962.46,708773.0,0.0,KOSPI,KOSPI,0.0007634619282481658,-56,0.13309287853462837,0.0007634619282481658,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-10,2947.46,2958.61,2924.36,2930.17,570931.0,0.0,KOSPI,KOSPI,-0.01089972522835747,-55,0.12074247750039224,-0.01089972522835747,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-11,2911.41,2925.19,2903.72,2924.92,572859.0,0.0,KOSPI,KOSPI,-0.001791704918144732,-54,0.11873443769148095,-0.001791704918144732,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-12,2945.95,2973.84,2938.27,2968.8,665733.0,0.0,KOSPI,KOSPI,0.015002119716094775,-53,0.1355178256562466,0.015002119716094775,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-15,2989.68,3003.71,2979.96,2999.52,639395.0,0.0,KOSPI,KOSPI,0.010347615198059712,-52,0.14726772716667513,0.010347615198059712,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-16,2995.68,3011.88,2985.34,2997.21,579646.0,0.0,KOSPI,KOSPI,-0.0007701232197151464,-51,0.14638418965075428,-0.0007701232197151464,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-17,3004.02,3004.67,2957.7,2962.42,541489.0,0.0,KOSPI,KOSPI,-0.011607461605960157,-50,0.13307757918370333,-0.011607461605960157,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-18,2959.26,2964.48,2937.53,2947.38,541652.0,0.0,KOSPI,KOSPI,-0.0050769303474861305,-49,0.12732502323588935,-0.0050769303474861305,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-19,2951.06,2974.64,2948.07,2971.02,657093.0,0.0,KOSPI,KOSPI,0.008020682775889076,-48,0.13636693963258617,0.008020682775889076,0.0,0.0,KOSPI,LG Energy Solution IPO
